Product_ID,Factory,Line,Shift,Product_Type,Process_Mode,Defect
CHIP-00205,A,L2,Day,Advanced,Normal,0
CHIP-00206,B,L1,Day,Advanced,High_Speed,0
CHIP-00207,B,L3,Day,Advanced,Normal,0
CHIP-00208,C,L3,Day,Standard,Normal,0
CHIP-00209,C,L1,Night,Advanced,High_Speed,0
CHIP-00210,B,L2,Night,Advanced,Normal,0
CHIP-00211,A,L2,Day,Standard,Normal,0
CHIP-00212,B,L3,Day,Premium,Normal,0
CHIP-00213,B,L2,Day,Standard,High_Speed,1
CHIP-00214,A,L1,Day,Premium,Normal,0
CHIP-00215,C,L2,Night,Standard,Normal,0
CHIP-00216,A,L2,Day,Advanced,Normal,0
CHIP-00217,C,L2,Night,Advanced,High_Speed,0
CHIP-00218,A,L1,Night,Standard,Normal,0
CHIP-00219,C,L3,Night,Advanced,Normal,0
CHIP-00220,A,L3,Day,Standard,High_Speed,0
CHIP-00221,C,L2,Day,Premium,Normal,1
CHIP-00222,C,L2,Night,Standard,Normal,0
CHIP-00223,A,L2,Night,Standard,Normal,0
CHIP-00224,A,L2,Day,Advanced,Normal,0
CHIP-00225,B,L1,Day,Advanced,High_Speed,0
CHIP-00226,A,L2,Day,Standard,High_Speed,0
CHIP-00227,A,L2,Day,Standard,Normal,0
CHIP-00228,C,L3,Day,Premium,Normal,0
CHIP-00229,B,L1,Day,Standard,Normal,0
CHIP-00230,A,L1,Night,Advanced,Normal,0
CHIP-00231,B,L2,Night,Standard,Normal,0
CHIP-00232,A,L3,Day,Premium,High_Speed,0
CHIP-00233,C,L2,Night,Premium,Normal,0
CHIP-00234,A,L1,Night,Advanced,Normal,0
CHIP-00235,B,L2,Day,Premium,Normal,0
CHIP-00236,A,L1,Night,Premium,High_Speed,0
CHIP-00237,C,L2,Day,Premium,Normal,0
CHIP-00238,A,L2,Night,Advanced,High_Speed,0
CHIP-00239,C,L2,Day,Premium,Normal,0
CHIP-00240,B,L2,Night,Standard,Normal,0
CHIP-00241,C,L1,Day,Premium,Normal,0
CHIP-00242,A,L2,Day,Advanced,High_Speed,0
CHIP-00243,C,L3,Day,Premium,Normal,0
CHIP-00244,C,L2,Day,Premium,Normal,0
CHIP-00245,A,L3,Night,Advanced,High_Speed,1
CHIP-00246,A,L2,Day,Advanced,Normal,0
CHIP-00247,C,L3,Day,Premium,Normal,0
CHIP-00248,B,L1,Night,Advanced,Normal,1
CHIP-00249,C,L3,Day,Advanced,Normal,0
CHIP-00250,C,L1,Night,Standard,High_Speed,0
CHIP-00251,A,L1,Day,Standard,Normal,0
CHIP-00252,A,L1,Day,Standard,Normal,0
CHIP-00253,B,L2,Day,Advanced,Normal,0
CHIP-00254,B,L2,Night,Premium,High_Speed,1
CHIP-00255,B,L2,Night,Standard,Normal,0
CHIP-00256,C,L1,Night,Premium,Normal,0
CHIP-00257,B,L2,Day,Advanced,High_Speed,0
CHIP-00258,C,L1,Day,Premium,High_Speed,0
CHIP-00259,A,L2,Day,Standard,Normal,0
CHIP-00260,B,L1,Day,Advanced,Normal,0
CHIP-00261,A,L2,Day,Advanced,High_Speed,0
CHIP-00262,A,L1,Night,Advanced,Normal,0
CHIP-00263,A,L1,Night,Premium,High_Speed,0
CHIP-00264,C,L3,Day,Premium,Normal,0
CHIP-00265,B,L3,Night,Standard,Normal,0
CHIP-00266,A,L2,Day,Standard,Normal,0
CHIP-00267,B,L2,Day,Advanced,Normal,0
CHIP-00268,C,L1,Day,Standard,Normal,0
CHIP-00269,B,L2,Day,Premium,Normal,0
CHIP-00270,A,L2,Night,Advanced,High_Speed,0
CHIP-00271,A,L2,Day,Advanced,Normal,0
CHIP-00272,A,L2,Day,Premium,Normal,0
CHIP-00273,B,L2,Day,Standard,Normal,0
CHIP-00274,A,L3,Night,Standard,Normal,0
CHIP-00275,B,L1,Day,Advanced,Normal,0
CHIP-00276,C,L3,Night,Premium,Normal,0
CHIP-00277,A,L1,Day,Advanced,Normal,0
CHIP-00278,A,L1,Night,Standard,Normal,0
CHIP-00279,C,L1,Day,Premium,Normal,0
CHIP-00280,B,L2,Day,Standard,High_Speed,0
CHIP-00281,C,L1,Day,Advanced,Normal,0
CHIP-00282,C,L3,Night,Premium,Normal,1
CHIP-00283,B,L1,Night,Standard,Normal,0
CHIP-00284,C,L2,Night,Standard,Normal,0
CHIP-00285,B,L2,Day,Advanced,High_Speed,0
CHIP-00286,C,L1,Day,Premium,High_Speed,0
CHIP-00287,C,L1,Day,Standard,High_Speed,0
CHIP-00288,A,L2,Day,Standard,High_Speed,0
CHIP-00289,B,L2,Day,Advanced,High_Speed,0
CHIP-00290,A,L2,Night,Advanced,Normal,0
CHIP-00291,B,L2,Night,Standard,Normal,0
CHIP-00292,A,L2,Day,Advanced,Normal,0
CHIP-00293,B,L3,Day,Premium,High_Speed,0
CHIP-00294,B,L2,Day,Advanced,High_Speed,0
CHIP-00295,B,L3,Day,Standard,High_Speed,0
CHIP-00296,B,L1,Day,Advanced,High_Speed,0
CHIP-00297,A,L2,Day,Standard,High_Speed,0
CHIP-00298,A,L1,Day,Standard,Normal,0
CHIP-00299,B,L2,Night,Advanced,Normal,0
CHIP-00300,B,L1,Day,Standard,High_Speed,0
CHIP-00301,C,L1,Night,Standard,Normal,0
CHIP-00302,A,L1,Night,Standard,Normal,0
CHIP-00303,B,L1,Day,Standard,Normal,0
CHIP-00304,C,L2,Day,Advanced,Normal,0
CHIP-00305,C,L2,Night,Advanced,High_Speed,0
CHIP-00306,A,L1,Day,Advanced,High_Speed,0
CHIP-00307,B,L2,Day,Standard,Normal,0
CHIP-00308,C,L2,Day,Advanced,Normal,0
CHIP-00309,B,L1,Night,Premium,Normal,1
CHIP-00310,A,L1,Day,Advanced,Normal,1
CHIP-00311,B,L2,Day,Premium,Normal,0
CHIP-00312,A,L2,Night,Standard,Normal,0
CHIP-00313,B,L3,Day,Standard,Normal,0
CHIP-00314,C,L1,Night,Standard,Normal,0
CHIP-00315,C,L2,Day,Premium,Normal,0
CHIP-00316,B,L2,Night,Premium,High_Speed,1
CHIP-00317,C,L3,Day,Advanced,Normal,0
CHIP-00318,C,L3,Day,Advanced,Normal,1
CHIP-00319,C,L1,Day,Advanced,High_Speed,0
CHIP-00320,C,L3,Day,Standard,Normal,0
CHIP-00321,C,L2,Day,Standard,High_Speed,0
CHIP-00322,A,L3,Day,Premium,Normal,0
CHIP-00323,A,L1,Day,Standard,Normal,0
CHIP-00324,A,L2,Day,Standard,Normal,0
CHIP-00325,B,L2,Day,Advanced,High_Speed,0
CHIP-00326,C,L1,Day,Advanced,High_Speed,0
CHIP-00327,C,L3,Night,Premium,Normal,0
CHIP-00328,C,L1,Day,Standard,High_Speed,0
CHIP-00329,C,L1,Night,Premium,Normal,0
CHIP-00330,B,L1,Day,Standard,Normal,0
CHIP-00331,B,L3,Day,Standard,Normal,0
CHIP-00332,B,L3,Day,Advanced,Normal,0
CHIP-00333,A,L2,Day,Advanced,Normal,0
CHIP-00334,C,L2,Night,Advanced,Normal,0
CHIP-00335,B,L1,Day,Standard,Normal,0
CHIP-00336,A,L1,Night,Standard,Normal,0
CHIP-00337,B,L3,Night,Standard,Normal,0
CHIP-00338,B,L3,Day,Premium,Normal,0
CHIP-00339,C,L3,Night,Premium,Normal,0
CHIP-00340,C,L1,Day,Premium,Normal,0
CHIP-00341,A,L2,Night,Standard,Normal,0
CHIP-00342,C,L3,Day,Premium,Normal,0
CHIP-00343,A,L3,Day,Advanced,Normal,0
CHIP-00344,B,L2,Day,Standard,Normal,0
CHIP-00345,B,L1,Night,Advanced,Normal,0
CHIP-00346,C,L3,Day,Premium,Normal,0
CHIP-00347,C,L2,Day,Premium,Normal,0
CHIP-00348,A,L1,Night,Standard,Normal,0
CHIP-00349,C,L1,Day,Premium,Normal,0
CHIP-00350,C,L2,Night,Premium,High_Speed,0
CHIP-00351,C,L3,Day,Premium,Normal,0
CHIP-00352,A,L3,Night,Premium,Normal,0
CHIP-00353,A,L3,Day,Standard,High_Speed,0
CHIP-00354,B,L2,Night,Advanced,Normal,0
CHIP-00355,C,L3,Night,Premium,Normal,0
CHIP-00356,A,L1,Day,Advanced,Normal,1
CHIP-00357,B,L1,Night,Standard,High_Speed,0
CHIP-00358,C,L1,Night,Premium,Normal,0
CHIP-00359,B,L3,Night,Premium,Normal,0
CHIP-00360,B,L3,Night,Standard,Normal,0
CHIP-00361,C,L3,Night,Advanced,Normal,0
CHIP-00362,B,L3,Day,Advanced,Normal,0
CHIP-00363,A,L2,Night,Standard,High_Speed,0
CHIP-00364,A,L2,Night,Advanced,Normal,0
CHIP-00365,B,L2,Day,Standard,Normal,0
CHIP-00366,A,L2,Day,Advanced,High_Speed,0
CHIP-00367,A,L2,Day,Standard,Normal,0
CHIP-00368,A,L2,Night,Advanced,Normal,0
CHIP-00369,B,L1,Night,Standard,Normal,0
CHIP-00370,C,L1,Night,Premium,Normal,0
CHIP-00371,B,L3,Day,Advanced,Normal,0
CHIP-00372,C,L2,Day,Premium,Normal,0
CHIP-00373,C,L2,Day,Standard,Normal,0
CHIP-00374,C,L3,Night,Advanced,Normal,0
CHIP-00375,B,L2,Night,Standard,Normal,0
CHIP-00376,A,L1,Night,Standard,Normal,0
CHIP-00377,B,L3,Day,Advanced,High_Speed,0
CHIP-00378,A,L1,Night,Standard,High_Speed,0
CHIP-00379,B,L2,Night,Premium,High_Speed,0
CHIP-00380,C,L3,Night,Advanced,Normal,0
CHIP-00381,A,L2,Night,Standard,Normal,0
CHIP-00382,A,L1,Day,Premium,Normal,0
CHIP-00383,C,L1,Night,Standard,Normal,0
CHIP-00384,C,L3,Day,Premium,High_Speed,0
CHIP-00385,C,L2,Night,Advanced,Normal,0
CHIP-00386,A,L3,Night,Advanced,Normal,0
CHIP-00387,B,L2,Night,Premium,High_Speed,0
CHIP-00388,B,L1,Day,Standard,Normal,0
CHIP-00389,B,L2,Night,Advanced,High_Speed,1
CHIP-00390,B,L2,Day,Standard,Normal,0
CHIP-00391,C,L3,Night,Premium,High_Speed,0
CHIP-00392,A,L2,Night,Standard,High_Speed,0
CHIP-00393,C,L3,Day,Standard,Normal,0
CHIP-00394,A,L2,Night,Standard,Normal,0
CHIP-00395,A,L1,Night,Advanced,Normal,0
CHIP-00396,C,L3,Night,Premium,High_Speed,0
CHIP-00397,B,L2,Day,Premium,Normal,0
CHIP-00398,B,L2,Night,Advanced,High_Speed,0
CHIP-00399,A,L1,Night,Advanced,High_Speed,0
CHIP-00400,A,L1,Night,Advanced,Normal,0
CHIP-00401,A,L2,Day,Standard,Normal,0
CHIP-00402,C,L2,Night,Advanced,Normal,0
CHIP-00403,A,L3,Day,Advanced,Normal,0
CHIP-00404,C,L3,Night,Standard,Normal,1
CHIP-00405,C,L3,Day,Premium,Normal,1
CHIP-00406,C,L2,Day,Advanced,Normal,0
CHIP-00407,C,L3,Day,Advanced,Normal,0
CHIP-00408,C,L3,Night,Premium,Normal,0
CHIP-00409,B,L1,Day,Standard,Normal,0
CHIP-00410,C,L2,Night,Premium,Normal,0
CHIP-00411,B,L3,Day,Premium,High_Speed,0
CHIP-00412,A,L1,Day,Advanced,Normal,0
CHIP-00413,B,L1,Day,Advanced,Normal,0
CHIP-00414,A,L3,Day,Standard,High_Speed,0
CHIP-00415,B,L2,Day,Advanced,High_Speed,0
CHIP-00416,C,L3,Night,Premium,Normal,0
CHIP-00417,B,L2,Day,Standard,High_Speed,0
CHIP-00418,A,L2,Night,Standard,Normal,0
CHIP-00419,A,L2,Day,Standard,High_Speed,0
CHIP-00420,A,L2,Day,Advanced,Normal,0
CHIP-00421,A,L3,Day,Advanced,Normal,0
CHIP-00422,B,L2,Day,Standard,High_Speed,0
CHIP-00423,C,L3,Day,Advanced,Normal,0
CHIP-00424,B,L2,Night,Premium,Normal,0
CHIP-00425,B,L3,Night,Standard,High_Speed,0
CHIP-00426,B,L2,Day,Standard,Normal,0
CHIP-00427,A,L1,Night,Standard,Normal,0
CHIP-00428,B,L2,Day,Advanced,Normal,0
CHIP-00429,B,L1,Night,Standard,Normal,0
CHIP-00430,A,L1,Day,Standard,Normal,0
CHIP-00431,B,L3,Day,Advanced,Normal,0
CHIP-00432,B,L3,Night,Standard,Normal,0
CHIP-00433,A,L1,Day,Premium,Normal,0
CHIP-00434,B,L1,Day,Premium,Normal,0
CHIP-00435,A,L1,Night,Advanced,Normal,0
CHIP-00436,C,L3,Night,Advanced,Normal,0
CHIP-00437,A,L2,Night,Standard,High_Speed,0
CHIP-00438,C,L2,Night,Premium,High_Speed,0
CHIP-00439,B,L2,Day,Standard,Normal,0
CHIP-00440,A,L3,Night,Advanced,Normal,0
CHIP-00441,A,L1,Night,Standard,Normal,1
CHIP-00442,C,L1,Day,Premium,Normal,1
CHIP-00443,B,L2,Day,Standard,Normal,0
CHIP-00444,C,L3,Night,Advanced,Normal,0
CHIP-00445,C,L3,Night,Standard,Normal,0
CHIP-00446,A,L3,Day,Standard,Normal,1
CHIP-00447,B,L3,Night,Advanced,High_Speed,0
CHIP-00448,B,L1,Day,Advanced,Normal,0
CHIP-00449,C,L3,Day,Premium,Normal,0
CHIP-00450,B,L3,Night,Standard,Normal,0
CHIP-00451,C,L1,Day,Standard,High_Speed,0
CHIP-00452,B,L2,Day,Advanced,High_Speed,0
CHIP-00453,C,L1,Night,Advanced,Normal,0
CHIP-00454,A,L3,Day,Advanced,Normal,0
CHIP-00455,B,L1,Night,Standard,Normal,0
CHIP-00456,A,L1,Night,Advanced,Normal,0
CHIP-00457,C,L3,Night,Premium,Normal,0
CHIP-00458,A,L2,Night,Standard,Normal,0
CHIP-00459,C,L1,Night,Advanced,Normal,0
CHIP-00460,A,L1,Night,Standard,Normal,0
CHIP-00461,A,L3,Night,Standard,High_Speed,0
CHIP-00462,A,L3,Day,Standard,Normal,0
CHIP-00463,C,L3,Night,Premium,Normal,0
CHIP-00464,A,L1,Day,Advanced,High_Speed,0
CHIP-00465,C,L3,Day,Advanced,Normal,0
CHIP-00466,C,L3,Day,Premium,Normal,0
CHIP-00467,C,L2,Day,Premium,High_Speed,0
CHIP-00468,B,L1,Day,Advanced,Normal,0
CHIP-00469,B,L1,Day,Advanced,High_Speed,0
CHIP-00470,B,L1,Day,Standard,Normal,0
CHIP-00471,A,L2,Night,Standard,High_Speed,0
CHIP-00472,B,L2,Night,Standard,Normal,0
CHIP-00473,C,L2,Night,Advanced,High_Speed,0
CHIP-00474,A,L2,Day,Advanced,Normal,0
CHIP-00475,A,L2,Day,Standard,Normal,1
CHIP-00476,B,L2,Day,Advanced,Normal,0
CHIP-00477,C,L2,Night,Standard,Normal,0
CHIP-00478,A,L1,Day,Standard,Normal,0
CHIP-00479,C,L1,Day,Advanced,Normal,0
CHIP-00480,A,L2,Day,Standard,Normal,0
CHIP-00481,B,L2,Night,Standard,Normal,0
CHIP-00482,C,L2,Day,Standard,Normal,1
CHIP-00483,B,L2,Day,Advanced,Normal,0
CHIP-00484,B,L1,Day,Advanced,High_Speed,0
CHIP-00485,C,L1,Day,Advanced,High_Speed,1
CHIP-00486,A,L2,Night,Standard,Normal,1
CHIP-00487,A,L2,Day,Standard,High_Speed,0
CHIP-00488,C,L3,Day,Standard,High_Speed,0
CHIP-00489,B,L1,Day,Standard,Normal,0
CHIP-00490,C,L3,Day,Advanced,Normal,0
CHIP-00491,C,L2,Day,Advanced,Normal,0
CHIP-00492,B,L2,Night,Premium,Normal,0
CHIP-00493,B,L2,Night,Premium,High_Speed,0
CHIP-00494,B,L2,Day,Standard,Normal,0
CHIP-00495,A,L2,Night,Standard,Normal,0
CHIP-00496,B,L1,Night,Premium,Normal,0
CHIP-00497,C,L1,Night,Advanced,Normal,0
CHIP-00498,C,L1,Day,Advanced,High_Speed,0
CHIP-00499,C,L3,Night,Premium,High_Speed,0
CHIP-00500,C,L3,Night,Advanced,High_Speed,0
CHIP-00501,A,L2,Day,Standard,Normal,0
CHIP-00502,B,L2,Day,Standard,Normal,0
CHIP-00503,A,L1,Day,Standard,High_Speed,0
CHIP-00504,B,L3,Day,Standard,Normal,0
CHIP-00505,C,L1,Day,Standard,High_Speed,0
CHIP-00506,C,L1,Night,Premium,Normal,0
CHIP-00507,C,L3,Day,Advanced,Normal,0
CHIP-00508,B,L1,Day,Standard,Normal,0
CHIP-00509,B,L3,Day,Standard,High_Speed,0
CHIP-00510,A,L3,Night,Premium,Normal,0
CHIP-00511,B,L3,Day,Standard,High_Speed,0
CHIP-00512,A,L2,Night,Standard,Normal,0
CHIP-00513,C,L2,Day,Premium,Normal,1
CHIP-00514,B,L2,Day,Standard,High_Speed,0
CHIP-00515,C,L3,Day,Standard,Normal,0
CHIP-00516,C,L3,Day,Standard,Normal,0
CHIP-00517,A,L3,Day,Premium,Normal,1
