Wafer_ID,Lot_ID,Factory,Shift,Process_Mode,Product_Type,Material_Supplier,Chamber_ID,Temperature,Chamber_Pressure,Gas_Flow,Etch_Rate,Chamber_Humidity,Particle_Count,Thickness_Uniformity,Voltage_Stability,Cycle_Time,Defect
WAFER-00066,LOT-023,A,Night,Normal,Premium,S2,CH-01,489.72,2.227,112.69,1.418,35.16,27.2,0.8761,0.9767,31.28,1
WAFER-00067,LOT-017,B,Day,Normal,Standard,S3,CH-04,480.55,2.501,117.9,1.418,35.51,12.7,0.9218,0.9416,28.93,0
WAFER-00068,LOT-040,B,Day,High_Speed,Standard,,CH-01,475.51,2.461,120.35,1.62,35.36,23.9,0.951,0.9683,21.44,0
WAFER-00069,LOT-007,A,Day,Normal,Advanced,S1,CH-02,472.13,2.74,130.5,1.435,29.35,19.9,0.9652,0.9751,30.34,0
WAFER-00070,LOT-005,C,Day,High_Speed,Standard,S1,CH-03,487.56,2.301,116.91,1.66,37.04,19.4,0.9767,0.9691,28.49,0
WAFER-00071,LOT-012,C,Night,Normal,Advanced,S2,CH-02,484.71,2.493,120.91,1.593,41.46,28.6,0.9245,0.9726,31.05,0
WAFER-00072,LOT-033,B,Night,Normal,Advanced,S3,CH-01,472.9,2.696,132.3,1.858,39.98,19.7,0.9613,0.9751,35.07,0
WAFER-00073,LOT-004,A,Night,Normal,Standard,S1,CH-04,467.14,2.283,119.87,1.442,39.99,17.0,0.9274,0.948,39.02,1
WAFER-00074,LOT-018,B,Night,Normal,Premium,S3,CH-03,477.69,2.724,117.78,1.742,41.68,18.0,0.9269,0.9763,32.66,1
WAFER-00075,LOT-016,B,Day,Normal,Premium,S2,CH-04,463.81,2.338,123.12,1.615,39.79,16.0,0.9042,0.9596,29.68,0
WAFER-00076,LOT-011,B,Day,Normal,Advanced,S2,CH-03,486.76,2.577,112.69,1.461,40.16,14.6,0.9308,,29.08,1
WAFER-00077,LOT-024,C,Day,Normal,Premium,S1,CH-03,493.46,2.408,117.16,1.646,45.64,25.2,0.9518,0.9648,32.02,0
WAFER-00078,LOT-029,A,Day,High_Speed,Advanced,S3,CH-01,497.36,2.375,117.23,1.401,35.88,16.9,0.937,0.9667,26.32,0
WAFER-00079,LOT-039,B,Night,Normal,Advanced,S2,CH-03,481.77,2.18,119.31,1.421,38.9,16.6,0.951,,26.59,0
WAFER-00080,LOT-001,A,Night,Normal,Standard,S3,CH-04,487.67,2.438,124.83,1.599,37.47,12.4,0.9178,0.9545,27.33,0
WAFER-00081,LOT-010,B,Night,Normal,Standard,S2,CH-02,478.62,,108.41,1.59,25.57,12.7,0.923,0.9539,28.42,0
WAFER-00082,LOT-009,C,Day,High_Speed,Premium,S3,CH-03,462.46,2.73,125.11,1.439,,25.9,0.9115,0.9883,25.58,1
WAFER-00083,LOT-019,B,Day,Normal,Advanced,S2,CH-02,466.67,2.51,124.11,1.612,30.67,14.8,0.9019,0.9656,31.97,0
WAFER-00084,LOT-026,B,Night,Normal,Standard,S3,CH-04,499.58,2.703,121.73,1.283,39.07,27.3,0.9061,0.972,34.07,0
WAFER-00085,LOT-027,A,Night,High_Speed,Standard,S2,CH-03,466.46,2.397,133.43,1.49,34.0,17.7,0.9086,0.9706,28.14,0
WAFER-00086,LOT-030,B,Night,Normal,Standard,S1,CH-03,469.59,2.88,112.23,1.656,36.07,16.8,0.8928,0.9711,27.02,0
WAFER-00087,LOT-027,B,Day,Normal,Premium,S2,CH-03,467.9,2.585,125.98,1.569,45.32,19.2,0.9168,0.9604,28.25,1
WAFER-00088,LOT-009,C,Night,Normal,Standard,S2,CH-03,472.85,2.669,131.14,1.539,32.77,17.0,0.9278,0.973,30.68,0
WAFER-00089,LOT-026,A,Day,Normal,Advanced,S1,CH-01,491.53,2.441,120.57,1.508,36.19,24.1,0.9075,0.9605,33.23,1
WAFER-00090,LOT-039,B,Night,Normal,Advanced,S2,CH-02,474.43,2.551,116.16,1.37,26.04,31.8,0.9207,0.9652,30.99,0
WAFER-00091,LOT-021,C,Day,,Advanced,,CH-04,475.68,2.597,121.93,1.416,40.58,23.4,0.9456,0.9546,31.26,0
WAFER-00092,LOT-028,B,Day,Normal,Standard,S2,CH-03,479.77,2.486,136.63,1.532,41.67,15.6,0.8882,0.982,36.37,0
WAFER-00093,LOT-023,C,Day,Normal,Standard,S1,CH-03,490.58,2.351,117.24,1.328,,35.4,0.948,0.9679,33.35,1
WAFER-00094,LOT-004,C,Day,High_Speed,Premium,S3,CH-02,485.58,,,1.594,31.12,11.6,0.9055,0.9526,29.74,0
WAFER-00095,LOT-039,B,Night,Normal,Standard,S1,CH-02,476.23,2.689,125.67,1.722,36.51,13.3,0.9556,0.9801,30.39,0
WAFER-00096,LOT-022,C,Day,Normal,Standard,S2,CH-03,481.08,2.333,121.79,1.583,30.74,21.7,0.9314,0.9818,31.93,0
WAFER-00097,LOT-006,A,Day,Normal,Premium,S1,CH-03,482.46,2.703,133.25,1.342,44.7,19.3,0.9041,0.958,29.04,0
WAFER-00098,LOT-007,B,Night,Normal,Standard,S1,CH-02,481.17,2.484,108.09,1.458,32.98,13.4,0.9307,0.975,31.78,1
WAFER-00099,LOT-021,A,Day,Normal,Premium,S3,CH-02,477.45,2.43,123.9,1.611,40.11,12.2,0.9686,0.9793,32.42,0
WAFER-00100,LOT-020,C,Day,High_Speed,Advanced,S2,CH-02,495.62,2.341,117.4,1.656,39.59,12.1,,0.9508,28.24,0
WAFER-00101,LOT-009,C,Night,Normal,Standard,S3,CH-01,475.58,2.61,125.89,1.555,39.39,24.6,0.9493,0.9512,28.33,0
WAFER-00102,LOT-028,C,Night,Normal,Standard,S1,CH-04,494.06,2.787,,1.52,32.06,22.8,0.8899,0.9703,27.13,1
WAFER-00103,LOT-009,C,Day,Normal,Standard,S1,CH-01,489.75,2.287,111.89,1.366,48.35,19.7,0.9505,0.9564,31.37,0
WAFER-00104,LOT-022,C,Night,Normal,Standard,S1,CH-01,484.22,2.584,137.37,1.458,39.05,24.7,0.9168,,28.19,0
WAFER-00105,LOT-004,C,Night,Normal,Standard,S3,CH-02,489.31,2.139,112.47,1.512,31.46,26.6,,0.9798,28.71,0
WAFER-00106,LOT-034,B,Night,Normal,Standard,S1,CH-01,483.61,2.439,121.57,1.73,41.76,21.8,0.942,,35.28,0
WAFER-00107,LOT-034,A,Night,High_Speed,Standard,S3,CH-03,490.73,2.456,124.04,1.552,36.47,21.3,0.9263,0.9594,31.67,0
WAFER-00108,LOT-037,A,Day,Normal,Premium,S2,CH-02,482.88,3.173,122.71,1.246,39.15,24.7,0.9287,0.9891,33.1,0
WAFER-00109,LOT-030,C,Night,Normal,Premium,S3,CH-01,465.91,2.068,116.03,1.557,31.8,18.7,0.9049,0.9571,33.01,0
WAFER-00110,LOT-032,A,Day,Normal,Standard,S2,CH-01,454.47,2.293,114.61,1.394,36.24,13.1,0.9558,0.968,34.45,0
WAFER-00111,LOT-008,C,Day,Normal,Standard,,CH-02,485.04,2.881,137.67,1.713,40.66,13.6,0.8956,0.9804,35.24,0
WAFER-00112,LOT-014,C,Night,High_Speed,Standard,S2,CH-03,497.96,1.694,126.94,1.273,40.77,19.0,0.952,0.9645,29.37,0
WAFER-00113,LOT-017,C,Day,Normal,Advanced,S1,CH-04,495.18,2.507,120.42,1.62,23.54,17.1,0.921,0.9743,21.84,0
WAFER-00114,LOT-022,C,Day,Normal,Premium,S1,CH-03,492.58,2.054,118.44,1.513,40.3,21.8,0.9139,0.9622,29.47,0
WAFER-00115,LOT-025,B,Day,Normal,Advanced,S1,CH-01,486.65,2.478,109.59,1.578,32.59,19.1,0.926,0.967,35.09,1
WAFER-00116,LOT-006,A,Day,Normal,Advanced,S2,CH-02,492.89,2.689,113.83,1.594,35.37,12.0,0.9388,0.9631,34.27,0
WAFER-00117,LOT-038,B,Day,Normal,Advanced,S2,CH-03,497.38,2.508,107.34,1.666,28.27,18.8,0.9204,0.9602,36.88,0
WAFER-00118,LOT-025,A,Night,Normal,Advanced,S2,CH-02,476.21,2.812,111.92,1.625,34.59,26.9,0.9303,0.9654,29.95,0
WAFER-00119,LOT-016,A,Day,Normal,Premium,S1,CH-03,464.8,2.362,125.01,1.562,38.17,15.5,0.8756,0.9612,35.91,1
WAFER-00120,LOT-021,A,Night,High_Speed,Advanced,S1,CH-04,503.06,2.435,134.54,1.543,34.71,12.8,0.9006,,30.16,0
WAFER-00121,LOT-024,B,Day,High_Speed,Advanced,S1,CH-03,489.5,,114.26,1.522,36.96,17.9,0.9323,0.9746,26.71,0
WAFER-00122,LOT-013,C,Day,Normal,Advanced,S1,CH-03,481.57,2.148,117.56,1.552,41.27,21.8,0.9539,0.9788,31.85,0
WAFER-00123,LOT-040,C,Night,High_Speed,Advanced,S1,CH-02,476.49,2.117,118.14,1.356,37.66,20.0,0.9271,0.9728,27.2,0
WAFER-00124,LOT-037,B,Day,High_Speed,Advanced,S1,CH-03,499.39,2.412,111.3,1.703,40.8,16.2,0.9083,1.0,29.36,0
WAFER-00125,LOT-029,A,Night,Normal,Advanced,S2,CH-01,484.42,2.213,109.59,1.553,34.53,12.4,,0.9609,28.02,0
WAFER-00126,LOT-013,C,Day,Normal,Advanced,S2,CH-01,481.98,2.532,130.44,1.628,35.57,21.0,0.9285,0.9675,35.65,0
WAFER-00127,LOT-038,A,Day,High_Speed,Standard,S3,CH-01,483.0,2.845,115.02,1.713,37.35,15.3,0.9154,0.9724,26.75,0
WAFER-00128,LOT-021,A,Day,Normal,Standard,S3,CH-03,491.22,2.485,,1.489,32.6,18.1,0.8864,0.9601,34.05,0
WAFER-00129,LOT-015,A,Night,Normal,Premium,S1,CH-04,478.44,2.564,127.01,1.791,37.87,23.1,0.9538,0.9646,29.51,0
WAFER-00130,LOT-029,A,Day,Normal,Standard,S1,CH-03,475.47,2.466,132.66,1.524,38.76,16.6,0.9313,0.9643,26.71,0
WAFER-00131,LOT-006,C,Day,Normal,Standard,S1,CH-03,501.19,2.569,,1.546,38.06,31.9,0.9254,0.9787,29.55,0
WAFER-00132,LOT-010,C,Day,Normal,Advanced,S2,CH-03,485.89,,128.02,1.635,47.02,26.6,0.9269,0.9716,31.25,0
WAFER-00133,LOT-023,C,Day,High_Speed,Standard,S1,CH-03,472.09,2.623,133.18,1.742,49.96,21.8,0.9515,0.9914,31.06,0
WAFER-00134,LOT-040,A,Day,Normal,Premium,S1,CH-04,482.08,2.573,111.94,1.584,42.3,15.2,0.9265,0.9501,36.7,0
WAFER-00135,LOT-028,A,Day,Normal,Premium,S2,CH-01,474.87,2.986,119.46,1.509,35.01,14.4,0.9204,0.9837,30.74,0
WAFER-00136,LOT-028,A,Day,Normal,Standard,S1,CH-01,506.51,2.518,122.17,1.632,38.72,17.8,0.9449,0.9715,27.17,0
WAFER-00137,LOT-036,A,Night,Normal,Premium,S2,CH-01,489.34,2.463,110.62,1.547,41.47,20.4,0.9095,0.9819,31.8,1
WAFER-00138,LOT-036,A,Day,Normal,Advanced,S2,CH-02,481.77,,128.95,1.385,42.93,20.3,0.9565,0.9698,29.9,0
WAFER-00139,LOT-035,A,Day,Normal,Standard,S2,CH-04,464.71,2.855,,1.613,36.05,19.8,0.9486,0.9698,33.03,0
WAFER-00140,LOT-032,C,Night,Normal,Standard,S1,CH-02,472.18,2.646,123.18,1.561,35.17,23.2,0.9171,0.9587,31.03,0
WAFER-00141,LOT-007,C,Day,High_Speed,Advanced,S3,CH-01,489.32,2.396,107.25,1.577,40.88,16.8,0.927,0.9959,29.54,0
WAFER-00142,LOT-021,B,Night,Normal,Standard,S1,CH-01,479.06,2.393,108.65,1.649,35.67,23.1,0.9168,,29.78,0
WAFER-00143,LOT-027,A,Day,Normal,Standard,S1,CH-04,471.52,2.916,127.4,1.619,30.11,15.9,0.8984,0.9628,30.6,0
WAFER-00144,LOT-037,A,Day,High_Speed,Premium,S3,CH-03,495.62,2.453,123.1,1.542,44.06,12.8,,0.9591,27.34,0
WAFER-00145,LOT-010,C,Night,Normal,Premium,S1,CH-04,479.38,2.41,121.47,1.344,44.53,15.6,0.9586,,29.23,0
WAFER-00146,LOT-035,B,Day,Normal,Standard,S1,CH-01,473.79,2.884,139.89,1.584,45.25,21.9,0.8962,0.9761,30.93,0
WAFER-00147,LOT-015,A,Night,High_Speed,Standard,S1,CH-01,488.46,2.236,124.59,1.66,35.94,26.3,0.9366,0.9832,29.93,0
WAFER-00148,LOT-005,B,Day,High_Speed,Standard,S1,CH-03,503.18,2.757,114.0,1.48,26.19,19.2,0.9127,0.9527,29.06,0
WAFER-00149,LOT-004,C,Night,Normal,Advanced,S3,CH-04,473.39,2.543,119.85,1.403,38.7,24.4,0.9287,,32.78,0
WAFER-00150,LOT-015,A,Night,Normal,Standard,S2,CH-03,458.09,2.525,139.52,1.499,41.68,23.0,0.9191,0.9613,32.04,0
WAFER-00151,LOT-003,B,Day,High_Speed,Standard,S3,CH-02,484.21,2.111,122.44,1.485,36.66,16.4,0.9415,0.9656,28.46,0
WAFER-00152,LOT-010,A,Day,High_Speed,Standard,S3,CH-03,493.99,2.304,102.9,1.514,42.57,15.3,,0.9616,29.18,1
WAFER-00153,LOT-010,B,Day,Normal,Advanced,S1,CH-03,473.7,2.523,134.76,1.599,41.31,12.4,0.9132,0.9789,33.11,0
WAFER-00154,LOT-006,B,Day,Normal,Standard,S3,CH-03,476.1,2.66,116.85,1.46,45.58,13.2,0.9584,0.9634,35.62,0
WAFER-00155,LOT-030,B,Day,High_Speed,Premium,S2,CH-01,482.2,2.529,105.36,1.686,31.08,20.8,0.9006,0.9578,30.29,0
WAFER-00156,LOT-032,B,Day,Normal,Advanced,S2,CH-04,464.13,2.445,118.04,1.549,38.68,18.6,0.9263,0.944,33.66,0
WAFER-00157,LOT-017,A,Day,High_Speed,Advanced,S1,CH-01,474.29,2.25,116.65,1.413,39.46,16.2,0.9225,0.9572,27.72,0
WAFER-00158,LOT-033,A,Day,High_Speed,Standard,S1,CH-03,488.01,2.869,131.69,1.413,45.72,13.2,0.9245,0.9801,29.32,0
WAFER-00159,LOT-023,A,Night,Normal,Standard,S2,CH-04,479.59,2.406,122.97,1.531,29.91,23.0,0.9018,0.9875,28.56,0
WAFER-00160,LOT-005,A,Day,Normal,Advanced,S1,CH-03,490.47,2.249,116.97,1.663,35.47,29.4,0.9514,0.9772,26.38,0
WAFER-00161,LOT-011,A,Night,Normal,Standard,S2,CH-02,468.14,2.385,115.03,1.427,43.51,18.1,0.923,0.9822,32.89,0
WAFER-00162,LOT-025,B,Night,High_Speed,Premium,S1,CH-04,487.93,2.562,128.03,1.461,39.65,13.7,0.9436,0.9583,29.98,0
WAFER-00163,LOT-027,B,Night,High_Speed,Advanced,S3,CH-04,497.51,2.497,117.99,1.408,38.19,19.7,0.9311,0.9828,30.19,0
WAFER-00164,LOT-032,C,Night,Normal,Standard,S1,CH-01,450.07,2.355,115.74,1.502,37.25,24.1,0.9543,0.9799,30.9,0
WAFER-00165,LOT-003,B,Day,Normal,Standard,S1,CH-02,475.58,2.238,112.71,1.518,39.31,8.0,0.9424,0.9758,28.34,0
WAFER-00166,LOT-028,C,Night,Normal,Premium,S1,CH-03,496.61,2.815,121.01,1.68,33.88,24.0,0.9377,0.9745,32.45,0
WAFER-00167,LOT-033,B,Day,High_Speed,Standard,S3,CH-04,482.75,2.737,118.3,1.626,34.24,17.1,0.9226,0.9605,28.59,0
WAFER-00168,LOT-004,B,Night,Normal,Advanced,S2,CH-01,500.73,2.615,124.77,1.706,28.03,29.0,0.961,0.968,27.37,1
WAFER-00169,LOT-025,C,Night,Normal,Standard,S3,CH-03,484.93,,115.42,1.569,37.26,20.7,0.9274,0.9716,28.62,0
WAFER-00170,LOT-017,A,Day,High_Speed,Standard,S3,CH-03,508.76,2.577,121.54,1.61,42.37,18.3,0.9567,0.9691,30.06,0
WAFER-00171,LOT-038,A,Night,Normal,Standard,S1,CH-04,461.28,2.5,127.53,1.421,45.62,16.7,0.9354,0.9566,34.57,0
WAFER-00172,LOT-017,B,Day,High_Speed,Advanced,,CH-03,485.3,2.626,121.0,1.448,33.32,21.3,0.966,0.9644,24.61,0
WAFER-00173,LOT-025,C,Day,High_Speed,Standard,S1,CH-01,473.02,2.211,133.89,1.639,37.88,15.8,0.9727,0.9944,28.4,0
WAFER-00174,LOT-014,C,Day,Normal,Advanced,S1,CH-04,481.15,2.399,111.46,1.427,51.92,57.6,0.9135,0.9703,31.84,1
WAFER-00175,LOT-009,A,Day,High_Speed,Advanced,S2,CH-03,495.1,2.8,122.92,1.715,39.91,20.0,0.9561,0.9869,31.45,0
WAFER-00176,LOT-006,B,Day,High_Speed,Advanced,S1,CH-04,493.19,2.365,127.76,1.55,37.03,10.8,0.9412,,34.57,0
WAFER-00177,LOT-036,B,Night,Normal,Standard,,CH-04,493.96,2.638,113.02,1.662,,22.4,0.9673,0.9663,32.35,0
WAFER-00178,LOT-036,A,Night,Normal,Premium,S3,CH-03,497.27,2.138,121.17,1.575,35.13,18.4,,0.97,30.6,0
WAFER-00179,LOT-008,B,Night,Normal,Advanced,S1,CH-02,489.31,2.221,121.15,1.528,42.93,21.6,0.9459,0.9758,27.01,0
WAFER-00180,LOT-025,C,Day,Normal,Premium,S1,CH-02,478.74,2.649,129.16,1.532,35.29,20.1,0.9147,0.9776,31.18,0
WAFER-00181,LOT-029,B,Day,Normal,Advanced,S2,CH-04,472.18,2.688,105.69,1.564,37.39,21.9,0.9132,0.9642,29.99,0
WAFER-00182,LOT-024,C,Day,Normal,Standard,S3,CH-02,474.56,2.487,114.03,1.582,33.35,26.0,0.9228,0.9733,29.01,0
WAFER-00183,LOT-039,B,Night,High_Speed,Premium,S3,CH-01,492.35,2.446,124.22,1.446,39.53,20.3,0.9374,0.9718,26.36,0
